id_ciudad;ciudad;pais;latitud;longitud
1;Buenos Aires;Argentina;-34.6;-58.38
2;Córdoba;Argentina;-31.42;-64.18
3;Rosario;Argentina;-32.95;-60.66
4;Mendoza;Argentina;-32.89;-68.85
5;La Plata;Argentina;-34.92;-57.95
